#/home/enes/bim/BIM.py trees/r8040068.trees,trees/r8040069.trees,trees/r8040070.trees,trees/r8040071.trees,trees/r8040072.trees,trees/r8040073.trees,trees/r8040074.trees,trees/r8040075.trees,trees/r8040076.trees,trees/r8040077.trees,trees/r8040078.trees,trees/r8040079.trees,trees/r8040080.trees,trees/r8040081.trees,trees/r8040082.trees,trees/r8040083.trees,trees/r8040084.trees 250 --stats=all --eta=etas/BC.json --out=outs/312776768.csv --r2t=0.005 --r2s=0.001
start,end,N,SS,FulD,TajD,FerL,FayH,bsfs,ZngE,Colless,btree,path
0,10001.0,250,108,0.05062964707258095,1.5233678551046206,-0.3476502560721213,0.06846968665590393,1.8742023342493739,0.9635546579873837,0.03106260166112479,0.15835013885022636,r8040068.trees
0,10001.0,250,98,-1.5085494519492733,1.6932625269505164,-0.196281859965507,0.10272828940713158,0.885983595821438,0.915260394811768,0.024896822312290633,1.0014338233325089,r8040069.trees
0,10001.0,250,91,-0.18400322008248884,1.3179430423965177,-0.33259546835081477,0.055115303710071374,1.9353961421043098,0.8563803013386946,0.03487851700055353,0.22395537116925654,r8040070.trees
0,10001.0,250,103,-0.5143206798988206,1.3529800630881805,-0.133003762548596,0.0852121409798422,2.218876834203283,0.7129096309085791,0.03257890432698536,0.26826066455242553,r8040071.trees
0,10001.0,250,93,-0.048030331263492536,1.6578844340464092,-0.07999393968809725,0.11644581778374184,1.9839095171783798,0.8043585451524943,0.036487413066901765,0.048721353755971274,r8040072.trees
0,10001.0,250,90,-0.15268939404014567,1.4198941875490634,-0.42309771226634896,0.050349046927024105,4.013310556790446,0.9747347276620131,0.03808783521181501,-0.2791797193137391,r8040073.trees
0,10001.0,250,84,-0.8166717838310519,2.3180041831306015,-0.6975401377365985,0.08137119772510876,3.058950742384133,1.5944447325867606,0.03126484432353069,0.2712475345985028,r8040074.trees
0,10001.0,250,74,-0.2760231599475559,2.0740356835581735,-0.1634398617788747,0.13848642867339633,3.0424412182659473,1.0506751424793914,0.029199234212837006,0.6063250165591388,r8040075.trees
0,10001.0,250,108,-0.9720481760072849,2.3167303697964305,-0.4155504474324975,0.11973198109025322,2.0976050265222574,1.3738876299124152,0.030223846656357762,0.557135189482407,r8040076.trees
0,10001.0,250,90,-1.7760401745358605,2.0388863154774395,-1.2101971535402003,-0.011903717730989844,1.3428943332692052,1.8865259721772438,0.032863377871888,0.25461306454326904,r8040077.trees
0,10001.0,250,104,-0.7152792666028301,1.5008190697814112,0.07313290699041299,0.12499277555997122,1.3720904492383506,0.6126079363546714,0.030930172302111664,0.39615292305019,r8040078.trees
0,10001.0,250,90,-1.5731213269738962,2.0455687835497613,-0.5347208271984921,0.08298827296360917,1.466280504701873,1.343810386796465,0.029682119325011972,0.4163445470491172,r8040079.trees
0,10001.0,250,75,-0.5533239085139714,1.0611353022182717,0.15190113107222705,0.10421539464177479,1.8847956366645544,0.3476654425178302,0.029197434900893895,0.5823209235517423,r8040080.trees
0,10001.0,250,100,-1.3563329208510964,1.788417100424141,-0.22018782198112108,0.10662445882058058,1.9134311223985059,0.977560277921171,0.03455633950192832,0.10798855480269948,r8040081.trees
0,10001.0,250,88,-0.5026462318554934,1.6284620012048348,-0.08657665418280214,0.11357500629576285,1.55445930618709,0.7953465460298832,0.028986015747578125,0.5269378831866367,r8040082.trees
0,10001.0,250,70,-1.151841061261325,1.903940280952704,-0.19623048099601115,0.12095225223550271,1.9482584257989808,1.0001135044701657,0.02901120611478171,0.3251320109182664,r8040083.trees
0,10001.0,250,82,0.12389836310545592,0.82669564295642,-0.7310890138444571,-0.03886227475454409,0.447274553866384,0.9578280198550205,0.027552925830128066,0.6195607447702518,r8040084.trees
